position,tier,prop,n_games,hit_rate
QB,season avg >=235 ypg,Over 175 pass yds,3387,0.9117
QB,season avg >=235 ypg,1+ pass TD,3387,0.8601
QB,season avg >=235 ypg,Over 200 pass yds,3387,0.8305
QB,season avg >=235 ypg,Over 225 pass yds,3387,0.7151
QB,season avg >=235 ypg,Over 250 pass yds,3387,0.5787
QB,season avg >=235 ypg,2+ pass TD,3387,0.5554
QB,season avg >=235 ypg,Over 275 pass yds,3387,0.4358
RB,season avg >=12 carries/g,Over 25 rush yds,5524,0.9189
RB,season avg >=12 carries/g,Over 50 rush yds,5524,0.6497
RB,season avg >=12 carries/g,Anytime TD,5524,0.462
RB,season avg >=12 carries/g,Over 75 rush yds,5524,0.3633
RB,season avg >=12 carries/g,Over 100 rush yds,5524,0.1841
WR/TE,season avg >=45 rec yds/g,Over 25 rec yds,5965,0.9972
WR/TE,season avg >=45 rec yds/g,3+ receptions,5965,0.948
WR/TE,season avg >=45 rec yds/g,Over 50 rec yds,5965,0.9024
WR/TE,season avg >=45 rec yds/g,5+ receptions,5965,0.7048
WR/TE,season avg >=45 rec yds/g,Over 75 rec yds,5965,0.6171
WR/TE,season avg >=45 rec yds/g,Anytime TD,5965,0.4461
WR/TE,season avg >=45 rec yds/g,Over 100 rec yds,5965,0.3174
