game_id,season,week,home_team,away_team,spread_line,p_xgb,p_lr,models_agree,side,edge
2026_03_ARI_SF,2026,3,SF,ARI,8.5,0.352,0.293,True,away,0.2
2026_03_ATL_GB,2026,3,GB,ATL,6.0,0.407,0.305,True,away,0.1539
2026_03_PHI_CHI,2026,3,CHI,PHI,-3.0,0.429,0.244,True,away,0.0785
2026_03_CIN_PIT,2026,3,PIT,CIN,-3.5,0.549,0.509,True,home,0.0756
2026_03_CAR_CLE,2026,3,CLE,CAR,-2.5,0.533,0.578,True,home,0.0661
2026_03_LAC_BUF,2026,3,BUF,LAC,7.0,0.454,0.371,True,away,0.0558
2026_03_NYJ_DET,2026,3,DET,NYJ,6.5,0.543,0.493,False,home,0.0395
2026_03_TEN_NYG,2026,3,NYG,TEN,3.5,0.531,0.44,False,home,0.0386
2026_03_BAL_DAL,2026,3,DAL,BAL,-3.0,0.473,0.633,False,away,0.0171
2026_03_LV_NO,2026,3,NO,LV,3.0,0.493,0.467,True,away,0.0146
2026_03_LA_DEN,2026,3,DEN,LA,-2.5,0.484,0.547,False,away,0.0069
2026_03_HOU_IND,2026,3,IND,HOU,-2.5,0.502,0.446,False,,0.0
2026_03_KC_MIA,2026,3,MIA,KC,-11.5,0.482,0.554,False,,0.0
2026_03_NE_JAX,2026,3,JAX,NE,3.0,0.494,0.515,False,,0.0
2026_03_MIN_TB,2026,3,TB,MIN,-1.5,0.5,0.673,False,,0.0
2026_03_SEA_WAS,2026,3,WAS,SEA,-7.0,0.5,0.701,False,,0.0
